,seasonal_orders,orders,results
39085,"(5, 1, 4, 5)","(1, 2, 4)",1.0624364006607019
39086,"(4, 1, 1, 3)","(2, 2, 2)",1.0596750761686902
39087,"(4, 1, 1, 3)","(1, 1, 1)",1.0573710911187553
39088,"(5, 1, 5, 4)","(2, 1, 3)",1.0571826442054257
39089,"(4, 1, 4, 5)","(4, 3, 3)",1.056387885612966
39090,"(5, 1, 5, 5)","(1, 2, 4)",1.0540187145180004
39091,"(4, 2, 5, 2)","(1, 1, 1)",1.0437714604138262
39092,"(4, 1, 5, 2)","(1, 2, 1)",1.0433587798984993
39093,"(4, 1, 1, 5)","(4, 3, 3)",1.0307784911937539
39094,"(5, 1, 2, 5)","(1, 2, 4)",1.0248736019226412
39095,"(4, 1, 2, 4)","(2, 1, 3)",1.0235187597272766
39096,"(5, 1, 5, 2)","(1, 2, 1)",0.999089850719285
39097,"(5, 1, 1, 5)","(1, 2, 4)",0.9942882812406373
39098,"(4, 1, 3, 5)","(2, 1, 4)",0.9903920685059041
39099,"(5, 1, 3, 5)","(1, 2, 4)",0.9869370536196463
39100,"(4, 1, 2, 5)","(2, 1, 4)",0.9816592138388932
39101,"(5, 1, 3, 4)","(2, 1, 3)",0.9593317738638382
39102,"(4, 1, 1, 5)","(2, 1, 4)",0.9566031511702833
39103,"(4, 1, 3, 4)","(2, 1, 3)",0.9531614379713231
39104,"(4, 1, 2, 5)","(3, 1, 4)",0.9511491715799633
39105,"(4, 2, 1, 5)","(3, 1, 4)",0.9471644176392191
39106,"(5, 2, 1, 5)","(3, 1, 4)",0.9461959794101235
39107,"(5, 2, 2, 5)","(3, 1, 4)",0.9231836073088928
39108,"(4, 1, 1, 4)","(2, 1, 3)",0.908549946175481
39109,"(4, 2, 3, 5)","(3, 1, 4)",0.9057042645556544
39110,"(5, 2, 4, 5)","(3, 1, 4)",0.9055429352095763
39111,"(4, 2, 4, 5)","(3, 1, 4)",0.9054399484205945
39112,"(4, 2, 2, 5)","(3, 1, 4)",0.8875667855289612
39113,"(5, 2, 3, 5)","(3, 1, 4)",0.8799872345832349
39114,"(4, 2, 5, 5)","(3, 1, 4)",0.8775394413978153
39115,"(5, 2, 5, 5)","(3, 1, 4)",0.8772936576466724
39116,"(4, 1, 4, 5)","(3, 1, 4)",0.8671007692097663
39117,"(4, 1, 1, 5)","(3, 1, 4)",0.8151732292014643
39118,"(4, 1, 2, 5)","(1, 1, 1)",0.8016252453157718
39119,"(4, 1, 1, 5)","(2, 1, 1)",0.7126465926186107
39120,"(4, 1, 5, 5)","(1, 1, 1)",0.6926389224563531
39121,"(4, 1, 4, 5)","(1, 1, 1)",0.6910549807110952
39122,"(4, 1, 3, 5)","(1, 1, 1)",0.6837906190108043
39123,"(4, 1, 1, 5)","(3, 1, 1)",0.6670094328963212
39124,"(4, 1, 1, 5)","(1, 1, 1)",0.6438407621145819
